code,day,id,avg_num_coders,num_codes,used_on_lines,percent
113,2012-03-29,162019,4.0817,963,257,92.19195837
113,2012-04-02,33727,3.0664,686,301,75.22148505
113,2012-04-03,34071,2.9442,626,269,79.20693978
113,2012-04-05,19302,2.5429,981,501,78.32335070
113,2012-04-07,175072,2.5000,2,2,41.66665000
113,2012-04-09,19607,2.0224,890,536,82.58706399
113,2012-04-10,18391,2.0230,1011,697,72.11860287
113,2012-04-11,2617,2.0000,2,1,100.00000000
113,2012-04-12,117985,2.0086,233,233,49.85693820
113,2012-04-16,118148,2.5307,228,228,42.83625132
113,2012-04-17,118432,2.3690,84,84,45.87301667
113,2012-04-19,118595,2.6962,95,79,51.13923671
113,2012-04-21,86190,2.0000,1,1,50.00000000
113,2012-04-23,118772,2.4659,88,88,43.16286932
113,2012-04-24,119031,2.0952,42,42,48.61110952
113,2012-04-26,119172,2.2121,33,33,47.67676667
113,2012-04-30,119263,2.4783,115,115,43.94202522
113,2012-05-01,109170,2.2881,59,59,45.76270678
113,2012-05-06,119662,2.0510,98,98,49.31972755
113,2012-05-07,119841,2.1778,180,180,47.70370278
113,2012-05-10,376785,2.0000,1,1,50.00000000
113,2012-05-14,41046,3.1348,381,267,48.64871985
113,2012-05-15,41052,4.0962,631,416,41.98260409
113,2012-05-17,41858,2.5145,332,276,52.95893007
113,2012-05-18,324894,2.0000,8,4,100.00000000
113,2012-05-21,41848,3.7701,274,274,28.55229197
113,2012-05-22,172207,2.1071,28,28,48.21428214
113,2012-05-29,293226,2.0000,2,1,100.00000000
113,2012-09-27,206671,4.1379,200,87,65.99160230
113,2012-09-28,206672,8.7000,238,110,32.40321545
113,2012-10-01,206755,2.4921,63,63,45.19841111
113,2012-10-02,206726,5.9704,242,203,24.28545123
113,2012-10-08,46866,6.1111,18,18,21.15740000
113,2012-10-09,206947,5.7619,21,21,18.08012381
113,2012-10-10,78419,3.0463,218,216,36.72066620
113,2012-10-13,206982,5.7200,25,25,18.21905600
113,2012-10-15,78913,2.6070,369,369,43.42054851
113,2012-10-16,2519,2.1314,137,137,48.68613139
113,2012-10-17,207047,2.8810,42,42,41.07142381
113,2012-10-21,134065,4.0000,1,1,25.00000000
113,2012-10-22,46945,2.5000,14,14,41.66665000
113,2012-10-24,305158,2.0000,278,278,50.00000000
113,2012-10-26,162018,5.6379,58,58,18.15819483
113,2012-10-27,162154,4.7407,54,54,23.55673148
113,2012-10-29,162273,5.0476,126,126,19.90835317
113,2012-10-30,207364,2.5065,77,77,43.11687792
113,2012-11-03,48998,2.9107,56,56,37.91665893
113,2012-11-04,385455,2.0000,5,5,50.00000000
113,2012-11-06,66134,2.0000,9,9,50.00000000
113,2012-11-10,386273,2.0000,1,1,50.00000000
113,2012-11-11,66154,2.0000,61,61,50.00000000
113,2012-11-13,66138,2.5386,913,880,44.46522977
113,2012-11-14,66262,2.0042,240,240,49.93055542
113,2012-11-15,243911,2.0000,6,6,50.00000000
113,2012-11-16,66134,2.0968,403,403,48.38709355
113,2012-11-18,243900,2.8571,16,14,43.45235714
113,2012-11-19,236470,2.0282,220,213,50.70422629
113,2012-11-20,236472,3.0116,173,173,33.23696127
113,2012-11-26,332919,2.0000,120,120,50.00000000
113,2012-11-27,333063,2.0000,77,77,50.00000000
113,2012-11-30,66223,2.6407,846,846,39.46018463
113,2012-12-02,67040,3.0558,233,233,33.21885494
113,2012-12-04,333047,3.0081,123,123,33.26554959
113,2013-01-03,125763,2.2843,299,299,46.19604716
113,2013-01-07,126039,2.0000,101,101,50.00000000
113,2013-01-08,126259,2.0000,6,6,50.00000000
113,2013-01-10,126274,2.0000,34,34,50.00000000
113,2013-01-11,3551,2.0769,169,169,48.83628994
113,2013-01-14,3574,2.6838,117,117,38.60396581
113,2013-01-15,3830,2.0000,166,166,50.00000000
113,2013-01-16,57684,2.0000,5,5,50.00000000
113,2013-01-17,57692,2.0000,75,75,50.00000000
113,2013-01-18,255300,3.7000,20,20,28.33333000
113,2013-01-19,57914,3.1333,135,135,34.22220444
113,2013-01-21,57985,2.0000,27,27,50.00000000
113,2013-01-22,58047,2.3514,333,333,45.66066036
113,2013-01-23,13997,2.0000,94,94,50.00000000
113,2013-01-24,125772,2.0000,5,5,50.00000000
113,2013-01-25,58963,2.0000,50,50,50.00000000
113,2013-01-26,59220,2.0000,1,1,50.00000000
113,2013-01-28,59237,2.0000,147,147,50.00000000
113,2013-02-04,123638,2.0082,122,122,49.86338770
113,2013-02-05,255574,2.0000,6,6,50.00000000
113,2013-02-08,334911,2.0000,2,2,50.00000000
113,2013-02-11,23850,3.0098,205,205,33.37395171
113,2013-02-12,124000,2.0977,133,133,48.88471128
77,2012-03-29,162216,4.3214,81,28,68.86905000
77,2012-04-02,33738,3.4902,188,102,54.83660098
77,2012-04-03,34070,3.4938,172,81,63.69782469
77,2012-04-05,19305,2.8265,166,98,61.76870714
77,2012-04-07,175067,2.0000,7,7,50.00000000
77,2012-04-09,18432,2.1007,218,139,76.13908921
77,2012-04-10,18423,2.3667,192,150,56.52221867
77,2012-04-11,123163,2.0000,6,6,50.00000000
77,2012-04-12,117990,3.6508,126,126,29.06083492
77,2012-04-16,118147,4.5152,132,132,24.94678258
77,2012-04-17,118436,4.8276,58,58,23.44005690
77,2012-04-19,85676,2.8500,85,80,42.80852750
77,2012-04-20,85871,2.0000,33,33,50.00000000
